#FourCC database file mostly based on information derived from http://fourcc.org/codecs.php
#Date: 16.10.2014
#
#Format description:
#	CSV based format with 3 entries divided by horizontal tabs (ASCII code 0x09)
#
#Example:
#	FOURCC [TAB] NAME [TAB] Summary
#
3IV1	3ivx	MPEG4-based codec. Used by 3ivx Delta 1.0-3.5. FOURCC "3IV0" was also used for a while but never publicly released.
3IV2	3ivx	MPEG4-based codec. To be used for "3ivx Delta 4.0."
8BPS	8BPS	Planar RGB Codec. RLE codec storing RGB image in planar format under Quicktime.
AASC	AASC	This codec is part of Autodesk's discontinued Animator Studio for Windows. 
ABYR	ABYR	Apparently a low resolution, low frame rate (6fps) codec similar to AJPG which is used in implementing movie capture in some digital cameras.
ADV1	ADV1	WaveCodec. Apparently used in various CCTV products.
ADVJ	ADVJ	Also known as AVRn
AEMI	AEMI	Array's codec used for I frame only MPEG1 AVI files
AFLC	AFLC	AVI equivalent of the FLC native file format.
AFLI	AFLI	AVI equivalent of Autodesk's native FLI file format (presumably).
AJPG	AJPG	22fps JPEG-based codec used for movie capture by some digital cameras.
AMPG	AMPG	Codec for Array VideoONE hardware-based MPEG compression system.
ANIM	ANIM	No information available for this codec.
AP41	AP41	Another hacked version of Microsoft's MP43 codec. One source recommends against installing this codec "due to its occasional tendency to modify client structures". Apparently this means that it can destroy or otherwise mess up the  HKEY_CLASSES_ROOT\avifile section of your registry leaving some tools incapable of playing video any more.
ASLC	ASLC	Alparysoft Lossless Codec. Codec offering approximately 5x compression in mathematically lossless mode or 5-15x compression in "visually lossless" operation.
ASV1	ASV1	Asus Video. Codec supplied with the Asus TNT Video Capture adapter. Supposedly a very simple, DCT-based codec.
ASV2	ASV2	Asus Video (2). New codec from Asus. Supposedly a very simple DCT codec.
ASVX	ASVX	Asus Video 2.0. Unusual codec which stores audio in the .avi file but puts the video in a companion .asv file.
AUR2	AUR2	No information available for this codec.
AURA	AURA	No information available for this codec.
AVC1	AVC1	Apple's version of the MPEG4 part 10/H.264 standard apparently.
AVRN	AVRN	Also known as ADVJ in Quicktime files.
BA81	BA81	This format stores raw 8bit Bayer samples. The Bayer color filter array is described here: http://www.siliconimaging.com/RGB%20Bayer.htm
BINK	BINK	Bink Video. Pretty popular codec in Windows games. I'm not sure if this is available as a standard Windows codec but the web site makes it sound interesting enough to list here even if it does require non-standard tools to use.
BLZ0	BLZ0	MPEG-4 codec used in WarCraft 3 movies.
BT20	BT20	Prosumer Video. Codec optimised for realtime compression of YUV images.
BTCV	BTCV	This, now obsolete, format supported a special data format used by the Brooktree Bt2115 chipset which could perform "software encoded video output" - a kind of software TV-out capability.
